date,equity,positions,return
2024-01-15,1087084.9827600028,3,-0.011040140812773047
2024-01-16,1091776.757420003,5,0.004315922613601142
2024-01-17,1064235.626140003,3,-0.025225973252153477
2024-01-18,1084659.1763700033,5,0.019190816139163402
2024-01-19,1084164.476370003,5,-0.0004560879682554697
2024-01-22,1039444.758090003,4,-0.04124809404356289
2024-01-23,1061929.5855300033,5,0.021631575189543062
2024-01-24,1058331.9855300032,5,-0.003387795244639058
2024-01-25,1072011.6855300032,5,0.012925717248495783
2024-01-26,1062826.6855300032,5,-0.008568003617851372
2024-01-29,1020277.1956800033,1,-0.040034269396220123
2024-01-30,1015700.1956800033,1,-0.004486035774767583
2024-01-31,1011682.9428800032,0,-0.003955156075667099
2024-02-01,1011403.1322800033,5,-0.00027657933937619283
2024-02-02,974241.7322800034,5,-0.03674242130951988
2024-02-05,957605.5612900034,1,-0.017076019676417142
2024-02-06,973325.4401700033,5,0.01641581828203198
2024-02-07,985979.8401700032,5,0.01300120132253979
2024-02-08,1015139.1195200034,4,0.029573910299192763
2024-02-19,1035127.4811600033,5,0.019690268314604076
2024-02-20,1033623.4811600035,5,-0.0014529611351004057
2024-02-21,1040086.7811600034,5,0.0062530506686500065
2024-02-22,1061213.1811600034,5,0.020312151238416787
2024-02-23,1067862.4811600035,5,0.006265753307673538
2024-02-26,1066649.0248600035,1,-0.0011363413561283897
2024-02-27,1067771.3942400035,4,0.0010522386969298303
2024-02-28,1058178.9819800034,5,-0.008983582358307762
2024-02-29,1068916.5819800035,5,0.010147243692091301
2024-03-01,1071379.6819800034,5,0.0023042958089745103
2024-03-04,1055795.5819800035,5,-0.0145458237281475
2024-03-05,1040644.4819800035,5,-0.014350410494791133
2024-03-06,1043594.2819800036,5,0.002834589575094526
2024-03-07,1030862.9918800036,4,-0.012199463258695697
2024-03-08,1036520.6039100037,5,0.005488228867041034
2024-03-11,1064495.6931100036,4,0.026989419307702267
2024-03-12,1085437.2696100036,5,0.01967276771108173
2024-03-13,1085533.4696100035,5,8.862787624241975e-05
2024-03-14,1075547.6696100035,5,-0.009198979377013194
2024-03-15,1068889.5056500037,2,-0.006190487086838337
2024-03-18,1076457.0799500037,5,0.007079847131063355
2024-03-19,1063407.7799500036,5,-0.012122452667231443
2024-03-20,1064821.7799500036,5,0.0013296874695298833
2024-03-21,1063098.2799500036,5,-0.001618580716935436
2024-03-22,1039591.4377000037,4,-0.022111636048461447
2024-03-25,1026931.5079700036,2,-0.01217779338199343
2024-03-26,1030277.7079700036,2,0.003258445158250689
2024-03-27,1025164.3079700037,2,-0.004963127863918393
2024-03-28,1030858.4363000037,5,0.005554356785279824
2024-03-29,1028936.7363000037,5,-0.0018641744902407886
2024-04-01,1058595.0363000038,5,0.02882422111455507
2024-04-02,1043182.8363000038,5,-0.014559108508451546
2024-04-03,1020878.7608200037,4,-0.021380792229202084
2024-04-08,1007868.4088200037,3,-0.012744267487306282
2024-04-09,1014484.8064500038,5,0.006564743543997276
2024-04-10,997467.6076100038,2,-0.016774227402723163
2024-04-11,996216.3821000039,5,-0.0012544021484546253
2024-04-12,989163.0821000038,5,-0.007080088349010971
2024-04-15,992519.5821000038,5,0.0033932726167600347
2024-04-16,960373.2020100038,3,-0.03238866080806557
2024-04-17,977033.3679600039,5,0.017347595617132283
2024-04-18,974067.2679600038,5,-0.0030358226210770445
2024-04-19,955315.7679600038,5,-0.019250723863528885
